time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-02 00:00:00+00:00,34,16,0,0
2026-04-03 00:00:00+00:00,8,4,0,0
2026-04-04 00:00:00+00:00,18,8,0,0
2026-04-05 00:00:00+00:00,11,7,0,0
2026-04-06 00:00:00+00:00,3,3,0,0
2026-04-07 00:00:00+00:00,12,6,0,0
2026-04-08 00:00:00+00:00,21,7,0,0
2026-04-09 00:00:00+00:00,1,1,0,0
2026-04-10 00:00:00+00:00,8,4,0,0
2026-04-11 00:00:00+00:00,32,11,0,0
2026-04-12 00:00:00+00:00,42,14,0,0
2026-04-13 00:00:00+00:00,1,1,4,1
2026-04-14 00:00:00+00:00,9,7,1,1
2026-04-15 00:00:00+00:00,9,5,0,0
