time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,33,9,0,0
2026-05-04 00:00:00+00:00,51,14,1,1
2026-05-05 00:00:00+00:00,30,9,0,0
2026-05-06 00:00:00+00:00,9,5,0,0
2026-05-07 00:00:00+00:00,16,6,0,0
2026-05-08 00:00:00+00:00,9,8,0,0
2026-05-09 00:00:00+00:00,14,7,1,1
2026-05-10 00:00:00+00:00,8,3,0,0
2026-05-11 00:00:00+00:00,23,5,0,0
2026-05-12 00:00:00+00:00,4,4,0,0
2026-05-13 00:00:00+00:00,15,4,0,0
2026-05-14 00:00:00+00:00,15,4,0,0
2026-05-15 00:00:00+00:00,11,5,0,0
2026-05-16 00:00:00+00:00,23,9,0,0
