time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,28,10,0,0
2026-04-19 00:00:00+00:00,21,8,0,0
2026-04-20 00:00:00+00:00,32,10,0,0
2026-04-21 00:00:00+00:00,58,31,0,0
2026-04-22 00:00:00+00:00,76,27,0,0
2026-04-23 00:00:00+00:00,90,28,0,0
2026-04-24 00:00:00+00:00,86,29,0,0
2026-04-25 00:00:00+00:00,71,28,0,0
2026-04-26 00:00:00+00:00,71,19,0,0
2026-04-27 00:00:00+00:00,1,1,0,0
2026-04-28 00:00:00+00:00,15,5,0,0
2026-04-29 00:00:00+00:00,38,10,0,0
2026-04-30 00:00:00+00:00,27,8,0,0
2026-05-01 00:00:00+00:00,23,8,0,0
